number of zones,number of cells,flip type,status,average microseconds,number of samples
25,8000,geograph3d,fail_3,155.508,3100
25,8000,geograph3d,fail_4,150.615,3489
25,8000,geograph3d,fail_5,158.547,3573
25,8000,geograph3d,success,212.291,32507
25,8000,bfs,failure,46.949,15648
25,8000,bfs,success,24.6407,64352
25,15625,geograph3d,fail_1,118.627,74265
25,15625,geograph3d,fail_2,nan,0
25,15625,geograph3d,fail_3,155.721,9966
25,15625,geograph3d,fail_4,156.348,6801
25,15625,geograph3d,fail_5,163.157,5637
25,15625,geograph3d,success,221.098,59581
25,15625,bfs,failure,83.1858,24891
25,15625,bfs,success,43.1501,131359
25,27000,geograph3d,fail_1,122.21,128905
25,27000,geograph3d,fail_2,nan,0
25,27000,geograph3d,fail_3,157.616,19529
25,27000,geograph3d,fail_4,159.692,10699
25,27000,geograph3d,fail_5,167.692,8340
25,27000,geograph3d,success,229.152,102527
25,27000,bfs,failure,154.685,36799
25,27000,bfs,success,69.1897,233201
25,42875,geograph3d,fail_1,123.574,211044
25,42875,geograph3d,fail_2,nan,0
25,42875,geograph3d,fail_3,158.314,34448
25,42875,geograph3d,fail_4,161.071,17451
25,42875,geograph3d,fail_5,168.118,11321
25,42875,geograph3d,success,234.287,154486
25,42875,bfs,failure,232.912,58770
25,42875,bfs,success,102.58,369980
25,64000,geograph3d,fail_1,125.125,326834
25,64000,geograph3d,fail_2,nan,0
25,64000,geograph3d,fail_3,160.526,55617
25,64000,geograph3d,fail_4,162.654,24353
25,64000,geograph3d,fail_5,170.451,14319
25,64000,geograph3d,success,240.206,218877
25,64000,bfs,failure,353.252,91099
25,64000,bfs,success,149.001,548901
